23.227.38.61,443,0.0.0.0,SG,Singapore,官方,7 ms
23.227.38.215,443,0.0.0.0,SG,Singapore,官方,40 ms
23.227.38.153,443,0.0.0.0,SG,Singapore,官方,14 ms
23.227.38.225,443,0.0.0.0,SG,Singapore,官方,7 ms
205.233.181.122,443,0.0.0.0,SG,Singapore,官方,40 ms
23.227.38.240,443,0.0.0.0,SG,Singapore,官方,9 ms
23.227.39.242,443,0.0.0.0,SG,Singapore,官方,56 ms
23.227.39.142,443,0.0.0.0,SG,Singapore,官方,14 ms
205.233.181.3,443,0.0.0.0,SG,Singapore,官方,41 ms
23.227.38.197,443,0.0.0.0,SG,Singapore,官方,11 ms
205.233.181.61,443,0.0.0.0,SG,Singapore,官方,37 ms
205.233.181.202,443,0.0.0.0,SG,Singapore,官方,53 ms
23.227.38.167,443,0.0.0.0,SG,Singapore,官方,61 ms
205.233.181.121,443,0.0.0.0,SG,Singapore,官方,11 ms
23.227.38.54,443,0.0.0.0,SG,Singapore,官方,94 ms
205.233.181.6,443,0.0.0.0,SG,Singapore,官方,98 ms
23.227.39.164,443,0.0.0.0,SG,Singapore,官方,8 ms
23.227.38.226,443,0.0.0.0,SG,Singapore,官方,59 ms
23.227.38.161,443,0.0.0.0,SG,Singapore,官方,11 ms
23.227.38.238,443,0.0.0.0,SG,Singapore,官方,66 ms
23.227.38.242,443,0.0.0.0,SG,Singapore,官方,10 ms
23.227.38.231,443,0.0.0.0,SG,Singapore,官方,49 ms
23.227.39.190,443,0.0.0.0,SG,Singapore,官方,162 ms
23.227.38.147,443,0.0.0.0,SG,Singapore,官方,36 ms
205.233.181.224,443,0.0.0.0,SG,Singapore,官方,49 ms
205.233.181.144,443,0.0.0.0,SG,Singapore,官方,6 ms
23.227.38.94,443,0.0.0.0,SG,Singapore,官方,120 ms
205.233.181.16,443,0.0.0.0,SG,Singapore,官方,13 ms
205.233.181.109,443,0.0.0.0,SG,Singapore,官方,109 ms
23.227.39.30,443,0.0.0.0,SG,Singapore,官方,84 ms
23.227.39.111,443,0.0.0.0,SG,Singapore,官方,50 ms
23.227.39.6,443,0.0.0.0,SG,Singapore,官方,75 ms
142.132.187.33,443,142.132.187.33,DE,Frankfurt,中转,179 ms
23.227.39.173,443,0.0.0.0,SG,Singapore,官方,123 ms
205.233.181.95,443,0.0.0.0,SG,Singapore,官方,24 ms
23.227.38.140,443,0.0.0.0,SG,Singapore,官方,162 ms
23.227.39.44,443,0.0.0.0,SG,Singapore,官方,172 ms
23.227.39.239,443,0.0.0.0,SG,Singapore,官方,40 ms
23.227.38.204,443,0.0.0.0,SG,Singapore,官方,137 ms
205.233.181.228,443,0.0.0.0,SG,Singapore,官方,80 ms
205.233.181.234,443,0.0.0.0,SG,Singapore,官方,48 ms
23.227.38.18,443,0.0.0.0,SG,Singapore,官方,60 ms
23.227.39.20,443,0.0.0.0,SG,Singapore,官方,50 ms
23.227.38.228,443,0.0.0.0,SG,Singapore,官方,9 ms
23.227.38.91,443,0.0.0.0,SG,Singapore,官方,24 ms
23.227.38.120,443,0.0.0.0,SG,Singapore,官方,23 ms
23.227.38.41,443,0.0.0.0,SG,Singapore,官方,161 ms
205.233.181.233,443,0.0.0.0,SG,Singapore,官方,133 ms
205.233.181.114,443,0.0.0.0,SG,Singapore,官方,70 ms
139.99.237.62,443,139.99.237.62,AU,Sydney,中转,93 ms
23.227.39.96,443,0.0.0.0,SG,Singapore,官方,80 ms
23.227.39.155,443,0.0.0.0,SG,Singapore,官方,23 ms
23.227.38.35,443,0.0.0.0,SG,Singapore,官方,68 ms
205.233.181.215,443,0.0.0.0,SG,Singapore,官方,122 ms
205.233.181.120,443,0.0.0.0,SG,Singapore,官方,58 ms
23.227.39.5,443,0.0.0.0,SG,Singapore,官方,113 ms
23.227.39.183,443,0.0.0.0,SG,Singapore,官方,49 ms
23.227.38.141,443,0.0.0.0,SG,Singapore,官方,86 ms
23.227.38.207,443,0.0.0.0,SG,Singapore,官方,175 ms
23.227.39.46,443,0.0.0.0,SG,Singapore,官方,150 ms
23.227.39.110,443,0.0.0.0,SG,Singapore,官方,49 ms
23.227.38.16,443,0.0.0.0,SG,Singapore,官方,19 ms
205.233.181.62,443,0.0.0.0,SG,Singapore,官方,29 ms
23.227.39.48,443,0.0.0.0,SG,Singapore,官方,106 ms
23.227.39.104,443,0.0.0.0,SG,Singapore,官方,75 ms
23.227.39.100,443,0.0.0.0,SG,Singapore,官方,76 ms
23.227.38.105,443,0.0.0.0,SG,Singapore,官方,29 ms
23.227.38.188,443,0.0.0.0,SG,Singapore,官方,10 ms
23.227.38.5,443,0.0.0.0,SG,Singapore,官方,137 ms
23.227.38.95,443,0.0.0.0,SG,Singapore,官方,97 ms
205.233.181.117,443,0.0.0.0,SG,Singapore,官方,109 ms
23.227.39.188,443,0.0.0.0,SG,Singapore,官方,240 ms
23.227.38.248,443,0.0.0.0,SG,Singapore,官方,26 ms
205.233.181.29,443,0.0.0.0,SG,Singapore,官方,155 ms
23.227.38.169,443,0.0.0.0,SG,Singapore,官方,71 ms
205.233.181.216,443,0.0.0.0,SG,Singapore,官方,44 ms
23.227.39.160,443,0.0.0.0,SG,Singapore,官方,82 ms
23.227.38.3,443,0.0.0.0,SG,Singapore,官方,276 ms
205.233.181.226,443,0.0.0.0,SG,Singapore,官方,281 ms
205.233.181.240,443,0.0.0.0,SG,Singapore,官方,199 ms
23.227.39.15,443,0.0.0.0,SG,Singapore,官方,195 ms
205.233.181.108,443,0.0.0.0,SG,Singapore,官方,174 ms
23.227.38.142,443,0.0.0.0,SG,Singapore,官方,234 ms
23.227.38.223,443,0.0.0.0,SG,Singapore,官方,45 ms
205.233.181.41,443,0.0.0.0,SG,Singapore,官方,32 ms
23.227.39.251,443,0.0.0.0,SG,Singapore,官方,177 ms
205.233.181.84,443,0.0.0.0,SG,Singapore,官方,252 ms
205.233.181.75,443,0.0.0.0,SG,Singapore,官方,125 ms
23.227.38.51,443,0.0.0.0,SG,Singapore,官方,214 ms
23.227.39.202,443,0.0.0.0,SG,Singapore,官方,176 ms
205.233.181.66,443,0.0.0.0,SG,Singapore,官方,46 ms
23.227.38.174,443,0.0.0.0,SG,Singapore,官方,27 ms
23.227.38.22,443,0.0.0.0,SG,Singapore,官方,138 ms
205.233.181.50,443,0.0.0.0,SG,Singapore,官方,177 ms
205.233.181.24,443,0.0.0.0,SG,Singapore,官方,164 ms
23.227.38.44,443,0.0.0.0,SG,Singapore,官方,32 ms
23.227.39.28,443,0.0.0.0,SG,Singapore,官方,17 ms
23.227.39.59,443,0.0.0.0,SG,Singapore,官方,55 ms
23.227.38.201,443,0.0.0.0,SG,Singapore,官方,37 ms
23.227.39.4,443,0.0.0.0,SG,Singapore,官方,77 ms
23.227.38.12,443,0.0.0.0,SG,Singapore,官方,112 ms
23.227.39.214,443,0.0.0.0,SG,Singapore,官方,9 ms
23.227.39.87,443,0.0.0.0,SG,Singapore,官方,146 ms
23.227.39.18,443,0.0.0.0,SG,Singapore,官方,169 ms
23.227.39.171,443,0.0.0.0,SG,Singapore,官方,7 ms
205.233.181.12,443,0.0.0.0,SG,Singapore,官方,165 ms
23.227.39.144,443,0.0.0.0,SG,Singapore,官方,90 ms
142.132.238.184,443,142.132.238.184,US,Frankfurt,中转,175 ms
